,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,104,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,0,86,0,0,2,0,0,0,0,0,0,0,0,2
3,2,0,1,85,0,0,0,0,0,2,0,0,2,2,3
4,0,2,0,0,101,0,0,5,0,0,0,0,0,0,0
5,0,0,2,0,0,96,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,82,1,0,0,0,0,2,1,0
7,0,0,0,0,2,0,1,86,0,0,0,0,1,1,0
8,0,0,0,0,0,0,0,0,90,0,0,0,1,0,0
9,0,0,0,0,0,0,0,0,2,94,0,0,9,0,1
10,0,0,0,0,0,0,0,0,0,1,102,0,5,1,0
11,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
12,2,1,0,3,0,0,0,0,0,6,3,0,78,0,1
13,0,0,0,1,0,0,0,0,0,0,1,0,1,93,0
14,2,0,0,2,1,1,0,0,0,0,0,0,1,2,100
