,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,89,0,0,0,0,0,1,0,0,0,0,0,1
3,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,107,0,0,1,0,0,0,0,0,0,0
5,0,0,3,0,0,94,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,86,1,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0
8,0,0,1,0,0,0,1,0,85,0,0,0,4,0,0
9,0,0,0,0,0,0,0,0,2,102,0,0,2,0,0
10,0,0,0,0,0,0,0,0,0,0,108,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
12,1,0,1,0,0,0,0,0,0,1,1,1,89,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,95,0
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108
