,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,19,8,6,10,5,5,7,5,6,4,4,6,6,9,8
1,2,27,8,7,6,4,6,5,5,7,8,6,2,7,7
2,3,14,13,10,3,5,4,3,9,3,4,3,2,12,3
3,3,10,10,26,1,2,4,2,0,3,7,5,3,10,11
4,5,4,2,6,26,4,15,18,9,4,3,4,4,1,3
5,3,3,8,1,5,38,8,3,4,4,5,4,1,4,7
6,3,4,1,5,7,9,19,13,5,1,3,6,5,0,6
7,4,0,3,4,9,4,8,36,10,3,0,3,1,3,3
8,4,0,1,0,5,2,3,6,54,3,4,2,5,1,1
9,4,4,2,5,3,13,7,5,7,27,10,5,3,8,3
10,1,4,7,2,5,3,1,0,9,10,44,4,4,13,2
11,3,9,3,4,3,2,5,1,1,3,4,61,2,3,4
12,6,8,2,3,8,1,6,5,10,9,6,7,10,6,7
13,5,4,3,5,2,2,1,1,2,2,5,3,1,48,12
14,7,10,2,8,2,2,4,3,4,3,3,4,0,21,36
