,TP,FP,TN,FN,Acurracy,Precision,Recall,F1-Score
0,19,53,89,1339,0.012666666666666666,0.26388888888852235,0.013991163475698527,0.026573426563859946
1,27,82,80,1311,0.018,0.24770642201812137,0.020179372197307907,0.037318590172657005
2,13,58,78,1351,0.008666666666666666,0.18309859154903788,0.009530791788855606,0.018118466889546308
3,26,70,71,1333,0.017333333333333333,0.2708333333330512,0.0191317144959515,0.03573883160279014
4,26,64,82,1328,0.017333333333333333,0.2888888888885679,0.019202363367797695,0.03601108032071654
5,38,58,60,1344,0.025333333333333333,0.395833333332921,0.027496382054990772,0.0514208389594295
6,19,79,68,1334,0.012666666666666666,0.19387755102021031,0.014042867701403249,0.02618883527341043
7,36,70,55,1339,0.024,0.33962264150911353,0.026181818181816276,0.048615800121747224
8,54,81,37,1328,0.036,0.39999999999970376,0.039073806078144785,0.0711931443476523
9,27,59,79,1335,0.018,0.31395348837172793,0.01982378854625405,0.03729281766837989
10,44,66,65,1325,0.029333333333333333,0.39999999999963637,0.032140248356462224,0.05949966191996236
11,61,62,47,1330,0.04066666666666666,0.4959349593491903,0.04385334291876033,0.0805812417287863
12,10,39,84,1367,0.006666666666666667,0.20408163265264473,0.007262164124908695,0.014025245435157041
13,48,98,48,1306,0.032,0.32876712328744606,0.035450516986703436,0.06399999998241955
14,36,77,73,1314,0.024,0.31858407079617823,0.02666666666666469,0.04921394393652478
