,TP,FP,TN,FN,Acurracy,Precision,Recall,F1-Score
0,52,1,2,695,0.06933333333333333,0.9811320754698469,0.06961178045514463,0.12999999998759532
1,51,0,0,699,0.068,0.9999999999980392,0.06799999999999093,0.12734082395808236
2,53,5,2,690,0.07066666666666667,0.9137931034467003,0.07133243606997694,0.13233458175931773
3,45,2,2,701,0.06,0.9574468085086011,0.06032171581768628,0.11349306430155665
4,49,0,0,701,0.06533333333333333,0.9999999999979592,0.06533333333332463,0.12265331663426342
5,41,1,3,705,0.05466666666666667,0.9761904761881519,0.05495978552278084,0.10406091369546562
6,48,0,0,702,0.064,0.9999999999979167,0.06399999999999147,0.12030075186836262
7,48,0,1,701,0.064,0.9999999999979167,0.0640854472630088,0.1204516938405948
8,45,2,1,702,0.06,0.9574468085086011,0.060240963855413616,0.1133501259334178
9,46,1,4,699,0.06133333333333333,0.9787234042532367,0.06174496644294473,0.11616161615042245
10,51,1,1,697,0.068,0.9807692307673447,0.06818181818180906,0.1274999999878131
11,53,0,0,697,0.07066666666666667,0.9999999999981132,0.07066666666665725,0.1320049813076877
12,46,3,4,697,0.06133333333333333,0.9387755102021658,0.06191117092865923,0.11616161614997862
13,59,0,0,691,0.07866666666666666,0.999999999998305,0.07866666666665617,0.14585908527692384
14,43,4,0,703,0.05733333333333333,0.91489361701933,0.057640750670233554,0.10844892810988073
